Time,V1,V2,V3,Mean
0,1.236310966,0.39302918,0.171471613,0.600270587
3,0.323695302,0.187640306,0.10628734,0.205874316
6,0.495185737,0.494042936,0.348534893,0.445921189
9,0.430089356,0.402215802,0.207240087,0.346515082
12,4.765766716,2.601556428,1.420148373,2.929157172
15,3.122514634,2.937064605,2.762628683,2.940735974
18,0.564889922,0.4525163,0.421238245,0.479548156
21,0.562285598,0.482201597,0.413523627,0.486003607
24,1.150856801,0.619585377,0.506760155,0.759067445
27,2.259559687,1.216476401,0.716667084,1.397567724
30,1.315892529,0.969989924,0.784244276,1.023375577
33,1.508075161,1.205285564,0.823234301,1.178865009
36,1.913271573,1.550472925,1.116803215,1.526849238
39,2.142618505,1.72433689,1.620053736,1.829003044
42,8.680079964,8.384404575,8.365054849,8.476513129
45,2.228451661,2.062472667,1.90885608,2.066593469
